"Operation","Elapsed Time (s)","Heap Used Avg","Heap Used StdDev","Margin of Error","Relative Margin of Error"
"
Insert row","
SM: 9.360825438
ST: 30.128162814","
SM: 9252.107623318385
ST: 52297.53086419753","
SM: 1690.005748832760
ST: 90281.32735673572","
SM: 156.84721941658654
ST: 13902.615113933552","
SM: 1.6952593484891965
ST: 26.583693119346048"
"
Undo insert row","
SM: 30.017252868
ST: 10.725623181","
SM: -209.3632958801498
ST: -977494.8085106383","
SM: 43384.11037149861
ST: 52545.93800320294","
SM: 2601.9631481025876
ST: 15022.641088168737","
SM: 1242.7981405069604
ST: 1.5368512402698087"
"
Redo insert row","
SM: 30.002075732
ST: 30.120114414","
SM: -20937.11731843575
ST: -70580.8387096774","
SM: 40650.61855853483
ST: 25579.08850832772","
SM: 2250.855910088269
ST: 4502.257118765652","
SM: 10.75055307688572
ST: 6.378865994048244"
"
Remove row","
SM: 7.42629247
ST: 30.096947370000002","
SM: 5086.024096385542
ST: -18595.25581395349","
SM: 969.9151359881016
ST: 103451.48216578021","
SM: 104.33277681144317
ST: 15460.679066489021","
SM: 2.0513622199625203
ST: 83.14313726669818"
"
Undo remove row","
SM: 30.01316817
ST: 11.496550468999994","
SM: -3795.6053511705686
ST: -946160.6808510638","
SM: 22070.368074495313
ST: 64979.8183268254","
SM: 1250.8350943242206
ST: 18577.430069643156","
SM: 32.9548248196684
ST: 1.9634540354110794"
"
Redo remove row","
SM: 30.000389342
ST: 30.200646846000005","
SM: 8058.170212765957
ST: -262106.84745762713","
SM: 14036.417834257123
ST: 43218.71104158695","
SM: 819.1393879502037
ST: 7798.065487020723","
SM: 10.165327441861459
ST: 2.975147563926722"
"
Insert a column","
SM: 30.013245304
ST: 30.067540936","
SM: 8747.81625441696
ST: 24834.13664596273","
SM: 5231.649327116061
ST: 87341.22658977377","
SM: 272.5941160465664
ST: 13491.567795541238","
SM: 3.1161390239412925
ST: 54.326703552766965"
"
Undo insert column","
SM: 30.013923161
ST: 11.221732526","
SM: 6975.451963241437
ST: -964022.6382978724","
SM: 31131.86130566112
ST: 67365.45338493338","
SM: 1763.6568241214218
ST: 19259.472119080434","
SM: 25.28376416919463
ST: 1.9978236354579744"
"
Redo insert column","
SM: 30.025428679
ST: 30.023306159","
SM: -14790.597127739984
ST: -73336.85950413223","
SM: 40581.18597179832
ST: 32078.360486810467","
SM: 2186.7588068528553
ST: 5715.780595831683","
SM: 14.7847905528544
ST: 7.793871505378032"
"
Remove column","
SM: 30.000531895
ST: 23.110214573999997","
SM: 3779.382857142857
ST: -840404.4528301887","
SM: 7541.569888959795
ST: 109793.62345515352","
SM: 422.3279137817486
ST: 20901.634870837635","
SM: 11.174520543309566
ST: 2.4870923518370507"
"
Undo remove column","
SM: 30.025589133
ST: 18.095964931","
SM: -2391.543973941368
ST: -208872.22222222222","
SM: 24163.248741790478
ST: 22434.60622469144","
SM: 1351.4880581588754
ST: 5182.129650278222","
SM: 56.511110516256345
ST: 2.4810046999762743"
"
Redo remove column","
SM: 30.004468844
ST: N/A","
SM: 9455.807585568919
ST: N/A","
SM: 12146.038655248665
ST: N/A","
SM: 724.0655474394202
ST: N/A","
SM: 7.6573633810449
ST: N/A"
"
Insert row and column","
SM: 11.278443751
ST: 30.131988279","
SM: 16334.98976109215
ST: 166370.19607843139","
SM: 5042.810695365952
ST: 63046.893680215995","
SM: 408.3005158471117
ST: 9990.196940015874","
SM: 2.499545587837656
ST: 6.004799642903724"
"
Undo insert row and column","
SM: 30.03372604
ST: 10.839825125","
SM: 17788.01213346815
ST: 10.839825125","
SM: 37817.9896709607
ST: 27922.39278318041","
SM: 2356.982534956612
ST: 7982.8831884021865","
SM: 13.250398736359918
ST: 0.755479202356847"
"
Redo insert row and column","
SM: 30.001712098
ST: N/A","
SM: -12937.733664185276
ST: N/A","
SM: 41155.871382547906
ST: N/A","
SM: 2319.9291520985807
ST: N/A","
SM: 17.93149567238887
ST: N/A"
"
Remove row and column","
SM: 30.003471294
ST: 18.578054808999994","
SM: 7968.642958748222
ST: -816571.4893617021","
SM: 6160.862498820209
ST: 100872.20336406556","
SM: 322.03637333276583
ST: 20392.17980650045","
SM: 4.04129504860328
ST: 2.497292652531944"
"
Undo remove row and column","
SM: 30.016149317
ST: 30.05537752100002","
SM: 7602.576271186441
ST: -204408.8","
SM: 19457.240286984983
ST: 56998.278336571995","
SM: 1139.0282809195976
ST: 11171.66255396811","
SM: 14.98213553261523
ST: 5.465353034687406"
"
Redo remove row and column","
SM: 30.01860883
ST: N/A","
SM: 18922.51911468813
ST: N/A","
SM: 25320.205468337885
ST: N/A","
SM: 1574.0919746948402
ST: N/A","
SM: 8.318617437532358
ST: N/A"
"Insert a row and a column and remove them right away","
SM: 30.017386312
ST: 22.015420924","
SM: -22900.633305988515
ST: -696968.0727272728","
SM: 80492.78436789512
ST: 92857.09558040077","
SM: 4518.675652725287
ST: 17353.010289255217","
SM: 19.731662405788814
ST: 2.4897855394368316"
"undo Insert a row and a column and remove them right away","
SM: 30.022212104
ST: N/A","
SM: 1391.3463035019456
ST: N/A","
SM: 69780.98466925707
ST N/A","
SM: 4925.67752244966
ST: N/A","
SM: 354.0223961534226
ST: N/A"
"redo Insert a row and a column and remove them right away","
SM: 10.113147373
ST: N/A","
SM: 35534.85373134328
ST: N/A","
SM: 8275.347440257996
ST: N/A","
SM: 886.1758377908271
ST: N/A","
SM: 2.493821543464471
ST: N/A"
"
Set a 3-character string","
SM: 30.002312241
ST: 30.111377427","
SM: 10295.767705382435
ST: 45012.35897435898","
SM: 32538.876298550396
ST: 63481.1103789251","
SM: 1697.232243944847
ST: 9961.810746344747","
SM: 16.48475657679772
ST: 22.13127899388573"
"
Undo setting a 3-character string","
SM: 30.027448226
ST: 10.802252901","
SM: -67.84520123839009
ST: -927631.3191489362","
SM: 7970.171752464374
ST: 38017.12517840759","
SM: 434.6027747868521
ST: 10868.920576208719","
SM: 640.5799774397793
ST: 1.17168538317362"
"
Redo setting a 3-character string","
SM: 30.004820717
ST: 30.128729473","
SM: 691.8723404255319
ST: -81203.44525547445","
SM: 5589.8473036379
ST: 16301.04648522681","
SM: 302.01469257129673
ST: 2729.6770831162817","
SM: 43.651794547176785
ST: 3.3615286574706715"
